Frame,Timestamp,red,yellow,green,blue
1,0:00:00.033,37285,10857,21947,47893
2,0:00:00.066,37316,10897,21694,47627
3,0:00:00.100,37326,10855,21700,47715
4,0:00:00.133,37324,10851,21696,47675
5,0:00:00.166,37409,10850,21567,47838
6,0:00:00.200,37417,10878,21596,47789
7,0:00:00.233,37415,10878,21586,47828
8,0:00:00.266,37419,10874,21586,47845
9,0:00:00.300,37455,10952,21473,47891
10,0:00:00.333,37475,10965,21459,47871
11,0:00:00.366,37459,10974,21424,47903
12,0:00:00.400,37459,10967,21448,47912
13,0:00:00.433,37685,11168,20917,47705
14,0:00:00.466,37846,11104,20878,47464
15,0:00:00.500,37833,11136,20857,47430
16,0:00:00.533,37830,11130,20857,47434
17,0:00:00.566,37823,11232,20693,47636
18,0:00:00.600,37823,11227,20673,47613
19,0:00:00.633,37819,11227,20677,47627
20,0:00:00.666,37819,11227,20673,47629
21,0:00:00.700,37854,11352,20544,47703
22,0:00:00.733,37856,11351,20536,47757
23,0:00:00.766,37856,11357,20536,47749
24,0:00:00.800,37856,11353,20540,47747
25,0:00:00.833,38096,11786,19944,47700
26,0:00:00.866,38167,11682,20006,47446
27,0:00:00.900,38159,11668,20021,47472
28,0:00:00.933,38159,11668,20030,47433
29,0:00:00.966,38186,11723,19930,47701
30,0:00:01.000,38176,11699,19921,47681
31,0:00:01.033,38176,11695,19929,47684
32,0:00:01.066,38176,11691,19921,47694
33,0:00:01.100,38216,11822,19635,47793
34,0:00:01.133,38217,11787,19636,47784
35,0:00:01.166,38217,11798,19631,47791
36,0:00:01.200,38217,11787,19639,47780
37,0:00:01.233,38321,12233,18992,47618
38,0:00:01.266,38397,12215,18978,47363
39,0:00:01.300,38400,12198,18989,47433
40,0:00:01.333,38404,12202,18993,47408
41,0:00:01.366,38430,12330,18884,47455
42,0:00:01.400,38434,12332,18893,47429
43,0:00:01.433,38434,12342,18889,47426
44,0:00:01.466,38434,12324,18893,47423
45,0:00:01.500,38464,12458,18594,47458
46,0:00:01.533,38472,12450,18586,47481
47,0:00:01.566,38464,12456,18602,47463
48,0:00:01.600,38464,12456,18590,47467
49,0:00:01.633,38570,12971,18055,47502
50,0:00:01.666,38740,12806,18034,47226
51,0:00:01.700,38741,12816,18040,47276
52,0:00:01.733,38752,12812,18032,47259
53,0:00:01.766,38787,12842,17957,47310
54,0:00:01.800,38796,12840,17973,47302
55,0:00:01.833,38779,12846,17981,47304
56,0:00:01.866,38784,12834,17969,47328
57,0:00:01.900,38797,13129,17828,47467
58,0:00:01.933,38801,13104,17802,47442
59,0:00:01.966,38790,13112,17842,47433
60,0:00:02.000,38795,13104,17842,47427
61,0:00:02.033,38891,13588,17318,47291
62,0:00:02.066,39063,13471,17297,46962
63,0:00:02.100,39023,13508,17299,47055
64,0:00:02.133,39026,13508,17309,47062
65,0:00:02.166,39072,13600,17167,47183
66,0:00:02.200,39082,13592,17158,47145
